# Version 1.00
#
freq[Hz];re:Smith_S11;im:Smith_S11;re:Magnitude_Z<-S11[Ohm];im:Magnitude_Z<-S11[Ohm];re:Phase_S11;im:Phase_S11;
1.020000000000000E+08;2.101850993852084E-01;8.864310435591428E-01;6.032425559543062E+00;6.288673640271094E+01;2.101850993852084E-01;8.864310435591428E-01;
1.025000000000000E+08;2.587199872985432E-01;8.735344020675065E-01;6.475963866966004E+00;6.655204036586497E+01;2.587199872985432E-01;8.735344020675065E-01;
1.030000000000000E+08;3.067671484695166E-01;8.574134653608715E-01;7.021958700283035E+00;7.052665652375576E+01;3.067671484695166E-01;8.574134653608715E-01;
1.035000000000000E+08;3.538206764615021E-01;8.388353102291572E-01;7.633223871912304E+00;7.481635741819235E+01;3.538206764615021E-01;8.388353102291572E-01;
1.040000000000000E+08;3.998673183987672E-01;8.175274443865340E-01;8.349697406560919E+00;7.948655433034718E+01;3.998673183987672E-01;8.175274443865340E-01;
1.045000000000000E+08;4.443794871760524E-01;7.933766732569437E-01;9.224449804822719E+00;8.456724666771144E+01;4.443794871760524E-01;7.933766732569437E-01;
1.050000000000000E+08;4.876859817415470E-01;7.672572049612266E-01;1.019085431788764E+01;9.014367165895693E+01;4.876859817415470E-01;7.672572049612266E-01;
1.055000000000000E+08;5.293655315757878E-01;7.383631627600294E-01;1.138628016013454E+01;9.630694521986351E+01;5.293655315757878E-01;7.383631627600294E-01;
1.060000000000000E+08;5.698479451590728E-01;7.071283708213648E-01;1.279029925258323E+01;1.032211784511522E+02;5.698479451590728E-01;7.071283708213648E-01;
1.065000000000000E+08;6.083731043135258E-01;6.733467776018307E-01;1.454315537810966E+01;1.109727809013844E+02;6.083731043135258E-01;6.733467776018307E-01;
1.070000000000000E+08;6.450930825849217E-01;6.369949672093287E-01;1.674676722477000E+01;1.197986083487498E+02;6.450930825849217E-01;6.369949672093287E-01;
1.075000000000000E+08;6.795008172197314E-01;5.987285226284216E-01;1.949311824482229E+01;1.298209613473192E+02;6.795008172197314E-01;5.987285226284216E-01;
1.080000000000000E+08;7.113027950697663E-01;5.581534432145975E-01;2.310986212812841E+01;1.413471297362254E+02;7.113027950697663E-01;5.581534432145975E-01;
1.085000000000000E+08;7.406601293559596E-01;5.157416198688739E-01;2.782221357510582E+01;1.547627612805277E+02;7.406601293559596E-01;5.157416198688739E-01;
1.090000000000000E+08;7.677886945552291E-01;4.713976455742079E-01;3.409253629450220E+01;1.707109976564866E+02;7.677886945552291E-01;4.713976455742079E-01;
1.095000000000000E+08;7.919095010198225E-01;4.252386365338164E-01;4.284384655338322E+01;1.897289444371819E+02;7.919095010198225E-01;4.252386365338164E-01;
1.100000000000000E+08;8.126574411556109E-01;3.769713601960413E-01;5.572102290230898E+01;2.127322165910187E+02;8.126574411556109E-01;3.769713601960413E-01;
1.105000000000000E+08;8.295999793996429E-01;3.274643023714936E-01;7.504676422960851E+01;2.403071975460523E+02;8.295999793996429E-01;3.274643023714936E-01;
1.110000000000000E+08;8.426110529986567E-01;2.773374365598255E-01;1.047773358387947E+02;2.727354771534506E+02;8.426110529986567E-01;2.773374365598255E-01;
1.115000000000000E+08;8.512308053436364E-01;2.272283990125163E-01;1.516798714173087E+02;3.080435731406639E+02;8.512308053436364E-01;2.272283990125163E-01;
1.120000000000000E+08;8.562627443458116E-01;1.781638274463606E-01;2.242933547168900E+02;3.399894738288010E+02;8.562627443458116E-01;1.781638274463606E-01;
1.125000000000000E+08;8.582829482558443E-01;1.303368516980581E-01;3.322811768960062E+02;3.515831330587119E+02;8.582829482558443E-01;1.303368516980581E-01;
1.130000000000000E+08;8.580285734223113E-01;8.395402468360418E-02;4.718738771132934E+02;3.086072558193416E+02;8.580285734223113E-01;8.395402468360418E-02;
1.135000000000000E+08;8.555598121262314E-01;3.836169719827648E-02;5.967107873728580E+02;1.717591465730988E+02;8.555598121262314E-01;3.836169719827648E-02;
1.140000000000000E+08;8.501903445529129E-01;-6.011733819325718E-03;6.164405158417940E+02;-2.674369002250375E+01;8.501903445529129E-01;-6.011733819325718E-03;
1.145000000000000E+08;8.422434613467156E-01;-4.845580948668355E-02;5.292399918175860E+02;-1.779168263336940E+02;8.422434613467156E-01;-4.845580948668355E-02;
1.150000000000000E+08;8.324874619318622E-01;-8.765993103320020E-02;4.186358336754030E+02;-2.452388658988743E+02;8.324874619318622E-01;-8.765993103320020E-02;
1.155000000000000E+08;8.236883468310980E-01;-1.224480746900716E-01;3.326263381471848E+02;-2.657331922748873E+02;8.236883468310980E-01;-1.224480746900716E-01;
1.160000000000000E+08;8.192500009848932E-01;-1.563334038539378E-01;2.664906293844455E+02;-2.737375250298628E+02;8.192500009848932E-01;-1.563334038539378E-01;
1.165000000000000E+08;8.175026559664544E-01;-1.945445683563847E-01;2.064862737303007E+02;-2.734177402769594E+02;8.175026559664544E-01;-1.945445683563847E-01;
1.170000000000000E+08;8.134406783278378E-01;-2.376447396776432E-01;1.543827149948572E+02;-2.603487012292794E+02;8.134406783278378E-01;-2.376447396776432E-01;
1.175000000000000E+08;8.049548133728756E-01;-2.830480409486629E-01;1.150703598890808E+02;-2.395488081160237E+02;8.049548133728756E-01;-2.830480409486629E-01;
1.180000000000000E+08;7.926978250726454E-01;-3.286298627161478E-01;8.731187187862447E+01;-2.176763539532705E+02;7.926978250726454E-01;-3.286298627161478E-01;
1.185000000000000E+08;7.771852917557851E-01;-3.741217734386734E-01;6.750994177571918E+01;-1.973075662744035E+02;7.771852917557851E-01;-3.741217734386734E-01;
1.190000000000000E+08;7.577347721462675E-01;-4.195205746682902E-01;5.322777969551144E+01;-1.787552338536123E+02;7.577347721462675E-01;-4.195205746682902E-01;
1.195000000000000E+08;7.343471406927230E-01;-4.633459940308166E-01;4.312626126758351E+01;-1.624288186090682E+02;7.343471406927230E-01;-4.633459940308166E-01;
1.200000000000000E+08;7.082671544299357E-01;-5.050138560600692E-01;3.576668452303593E+01;-1.484692749896872E+02;7.082671544299357E-01;-5.050138560600692E-01;
1.205000000000000E+08;6.801403019623558E-01;-5.447844520813335E-01;3.014518592788796E+01;-1.365031339382509E+02;6.801403019623558E-01;-5.447844520813335E-01;
1.210000000000000E+08;6.498267634600398E-01;-5.831711131593710E-01;2.567879568144943E+01;-1.260338681396490E+02;6.498267634600398E-01;-5.831711131593710E-01;
1.215000000000000E+08;6.174552116741779E-01;-6.197384489442793E-01;2.212161787791545E+01;-1.168400170725690E+02;6.174552116741779E-01;-6.197384489442793E-01;
1.220000000000000E+08;5.831640595778086E-01;-6.546125052106061E-01;1.921083983474631E+01;-1.086909185567466E+02;5.831640595778086E-01;-6.546125052106061E-01;
1.225000000000000E+08;5.469874107999083E-01;-6.878864293994211E-01;1.677581807564075E+01;-1.013971358884005E+02;5.469874107999083E-01;-6.878864293994211E-01;
1.230000000000000E+08;5.091610380683611E-01;-7.193656013428773E-01;1.471949480223823E+01;-9.485183921382244E+01;5.091610380683611E-01;-7.193656013428773E-01;
1.235000000000000E+08;4.690718672694148E-01;-7.492690928774294E-01;1.295922555637014E+01;-8.885082351592895E+01;4.690718672694148E-01;-7.492690928774294E-01;
1.240000000000000E+08;4.269541836626745E-01;-7.770735025038206E-01;1.147077998039858E+01;-8.335688515504606E+01;4.269541836626745E-01;-7.770735025038206E-01;
1.245000000000000E+08;3.828131059069451E-01;-8.025373956641991E-01;1.021418185490111E+01;-7.829740577834896E+01;3.828131059069451E-01;-8.025373956641991E-01;
1.250000000000000E+08;3.369732252472071E-01;-8.253869789144720E-01;9.152966699370021E+00;-7.363818526940375E+01;3.369732252472071E-01;-8.253869789144720E-01;
1.255000000000000E+08;2.893497935596547E-01;-8.456777783945056E-01;8.240726055959358E+00;-6.930679450554861E+01;2.893497935596547E-01;-8.456777783945056E-01;
1.260000000000000E+08;2.399184319965141E-01;-8.628619204951068E-01;7.483749332247139E+00;-6.525686246591708E+01;2.399184319965141E-01;-8.628619204951068E-01;
1.265000000000000E+08;1.890465939558356E-01;-8.768875562366031E-01;6.846092775185077E+00;-6.146793515349828E+01;1.890465939558356E-01;-8.768875562366031E-01;
1.270000000000000E+08;1.373664188139419E-01;-8.874327193910373E-01;6.319676881026139E+00;-5.793876461548692E+01;1.373664188139419E-01;-8.874327193910373E-01;
1.275000000000000E+08;8.508984990189214E-02;-8.946378583963870E-01;5.874508861164019E+00;-5.463645904588714E+01;8.508984990189214E-02;-8.946378583963870E-01;
1.280000000000000E+08;3.254093858366285E-02;-8.985235832237342E-01;5.495155069189420E+00;-5.154089467240668E+01;3.254093858366285E-02;-8.985235832237342E-01;
1.285000000000000E+08;-1.999943249103458E-02;-8.992704628431822E-01;5.162351451507967E+00;-4.863323619717001E+01;-1.999943249103458E-02;-8.992704628431822E-01;
1.290000000000000E+08;-7.249930372283576E-02;-8.969021464918135E-01;4.868049772230584E+00;-4.588466532678595E+01;-7.249930372283576E-02;-8.969021464918135E-01;
1.295000000000000E+08;-1.245878140615947E-01;-8.914220882900108E-01;4.609373838019860E+00;-4.328697275411815E+01;-1.245878140615947E-01;-8.914220882900108E-01;
1.300000000000000E+08;-1.762820481834806E-01;-8.827764530289086E-01;4.383638098988887E+00;-4.081384666030768E+01;-1.762820481834806E-01;-8.827764530289086E-01;
1.305000000000000E+08;-2.274628641008099E-01;-8.713710925217955E-01;4.169836987454237E+00;-3.845495567970921E+01;-2.274628641008099E-01;-8.713710925217955E-01;
1.310000000000000E+08;-2.776910281106132E-01;-8.569919075647650E-01;3.980950084001663E+00;-3.620690477341442E+01;-2.776910281106132E-01;-8.569919075647650E-01;
1.315000000000000E+08;-3.271563587459243E-01;-8.393506655782077E-01;3.821378156496893E+00;-3.403895048257878E+01;-3.271563587459243E-01;-8.393506655782077E-01;
1.320000000000000E+08;-3.754615982676143E-01;-8.191018861789297E-01;3.669795463378262E+00;-3.196092915299064E+01;-3.754615982676143E-01;-8.191018861789297E-01;
1.325000000000000E+08;-4.222544457058946E-01;-7.958064279398764E-01;3.546406523401230E+00;-2.996128761141254E+01;-4.222544457058946E-01;-7.958064279398764E-01;
1.330000000000000E+08;-4.676289300697737E-01;-7.699336292898370E-01;3.431812022413410E+00;-2.803089262351437E+01;-4.676289300697737E-01;-7.699336292898370E-01;
1.335000000000000E+08;-5.111717563738730E-01;-7.415969259169637E-01;3.330340029183847E+00;-2.617148981043047E+01;-5.111717563738730E-01;-7.415969259169637E-01;
1.340000000000000E+08;-5.528176892250888E-01;-7.107654542701972E-01;3.243778379424179E+00;-2.437107626317585E+01;-5.528176892250888E-01;-7.107654542701972E-01;
1.345000000000000E+08;-5.924964237777278E-01;-6.778566564632632E-01;3.162346163776462E+00;-2.262890495843894E+01;-5.924964237777278E-01;-6.778566564632632E-01;
1.350000000000000E+08;-6.301934405983395E-01;-6.426546738229115E-01;3.091499614499013E+00;-2.092972497484839E+01;-6.301934405983395E-01;-6.426546738229115E-01;
1.355000000000000E+08;-6.655997737151794E-01;-6.055748775308266E-01;3.028644205188350E+00;-1.928003066940501E+01;-6.655997737151794E-01;-6.055748775308266E-01;
1.360000000000000E+08;-6.988525972192001E-01;-5.668720068393651E-01;2.965931347234624E+00;-1.767363680996796E+01;-6.988525972192001E-01;-5.668720068393651E-01;
1.365000000000000E+08;-7.295995220524293E-01;-5.263143855557911E-01;2.916880221880818E+00;-1.610252254606275E+01;-7.295995220524293E-01;-5.263143855557911E-01;
1.370000000000000E+08;-7.581307848092146E-01;-4.843603915198622E-01;2.866115449366163E+00;-1.456447529298449E+01;-7.581307848092146E-01;-4.843603915198622E-01;
1.375000000000000E+08;-7.843556664279290E-01;-4.407939797743935E-01;2.819333902150712E+00;-1.304809620515302E+01;-7.843556664279290E-01;-4.407939797743935E-01;
1.380000000000000E+08;-8.081959714923718E-01;-3.961218772215759E-01;2.771159340379888E+00;-1.156058913449380E+01;-8.081959714923718E-01;-3.961218772215759E-01;
1.385000000000000E+08;-8.291060195104386E-01;-3.500702046416281E-01;2.739681489762834E+00;-1.009377854258939E+01;-8.291060195104386E-01;-3.500702046416281E-01;
1.390000000000000E+08;-8.470206753115714E-01;-3.031551347912687E-01;2.720979199135377E+00;-8.653197968531384E+00;-8.470206753115714E-01;-3.031551347912687E-01;
1.395000000000000E+08;-8.625492040273721E-01;-2.552384461848429E-01;2.700190300267126E+00;-7.221884209448262E+00;-8.625492040273721E-01;-2.552384461848429E-01;
1.400000000000000E+08;-8.754718787935368E-01;-2.065903763866414E-01;2.680694094657464E+00;-5.802979263184626E+00;-8.754718787935368E-01;-2.065903763866414E-01;
1.405000000000000E+08;-8.850136310194135E-01;-1.577444198097892E-01;2.681092900987597E+00;-4.408534929329806E+00;-8.850136310194135E-01;-1.577444198097892E-01;
1.410000000000000E+08;-8.922525279727173E-01;-1.084738381922145E-01;2.673972700700669E+00;-3.019548346329022E+00;-8.922525279727173E-01;-1.084738381922145E-01;
1.415000000000000E+08;-8.965065545713710E-01;-5.901183435807263E-02;2.677525642271087E+00;-1.639117676710270E+00;-8.965065545713710E-01;-5.901183435807263E-02;
1.420000000000000E+08;-8.980267385374004E-01;-9.710675973680612E-03;2.684917705568852E+00;-2.695463420779025E-01;-8.980267385374004E-01;-9.710675973680612E-03;
1.425000000000000E+08;-8.967047768632188E-01;3.942495160355834E-02;2.700248345480905E+00;1.095428643329623E+00;-8.967047768632188E-01;3.942495160355834E-02;
1.430000000000000E+08;-8.929462765338588E-01;8.818640600252740E-02;2.713295556348495E+00;2.455746442088857E+00;-8.929462765338588E-01;8.818640600252740E-02;
1.435000000000000E+08;-8.861622677248151E-01;1.365465003803639E-01;2.741297748234519E+00;3.818144258461484E+00;-8.861622677248151E-01;1.365465003803639E-01;
1.440000000000000E+08;-8.768620769781340E-01;1.841796040619322E-01;2.772232820485138E+00;5.178627170084959E+00;-8.768620769781340E-01;1.841796040619322E-01;
1.445000000000000E+08;-8.651442334203148E-01;2.312920831980597E-01;2.803155508007462E+00;6.547993242582611E+00;-8.651442334203148E-01;2.312920831980597E-01;
1.450000000000000E+08;-8.506893277230225E-01;2.771920154507501E-01;2.848354164221632E+00;7.915505635977845E+00;-8.506893277230225E-01;2.771920154507501E-01;
1.455000000000000E+08;-8.340374643033360E-01;3.222405803655962E-01;2.891717980835033E+00;9.293080556100788E+00;-8.340374643033360E-01;3.222405803655962E-01;
1.460000000000000E+08;-8.147039827893776E-01;3.659343522892565E-01;2.952232512475258E+00;1.067779709004569E+01;-8.147039827893776E-01;3.659343522892565E-01;
1.465000000000000E+08;-7.933050925693209E-01;4.086222668204785E-01;3.010641035572660E+00;1.207899782101636E+01;-7.933050925693209E-01;4.086222668204785E-01;
1.470000000000000E+08;-7.697442280723016E-01;4.495641070783951E-01;3.080078308860886E+00;1.348381174525262E+01;-7.697442280723016E-01;4.495641070783951E-01;
1.475000000000000E+08;-7.437612972159701E-01;4.891364265129485E-01;3.164136476864375E+00;1.491288731803949E+01;-7.437612972159701E-01;4.891364265129485E-01;
1.480000000000000E+08;-7.162804712210442E-01;5.271268821798293E-01;3.243070306746588E+00;1.635271980255615E+01;-7.162804712210442E-01;5.271268821798293E-01;
1.485000000000000E+08;-6.864835852487072E-01;5.633164866691358E-01;3.343528744672418E+00;1.781771815736441E+01;-6.864835852487072E-01;5.633164866691358E-01;
1.490000000000000E+08;-6.551638757482484E-01;5.976011121178531E-01;3.449374867626324E+00;1.929803225584403E+01;-6.551638757482484E-01;5.976011121178531E-01;
1.495000000000000E+08;-6.217295490493716E-01;6.300804935391506E-01;3.575327983267604E+00;2.081528890992134E+01;-6.217295490493716E-01;6.300804935391506E-01;
1.500000000000000E+08;-5.872376581485315E-01;6.606181244139852E-01;3.700184209498934E+00;2.235034860157341E+01;-5.872376581485315E-01;6.606181244139852E-01;
1.505000000000000E+08;-5.490266336257766E-01;6.898327540572031E-01;3.872577508175086E+00;2.399123921041801E+01;-5.490266336257766E-01;6.898327540572031E-01;
1.510000000000000E+08;-5.091476393149065E-01;7.173235494955990E-01;4.051023489675088E+00;2.569137108486266E+01;-5.091476393149065E-01;7.173235494955990E-01;
1.515000000000000E+08;-4.685243374192689E-01;7.421744681873798E-01;4.241396444987539E+00;2.741294681642450E+01;-4.685243374192689E-01;7.421744681873798E-01;
1.520000000000000E+08;-4.263009326754597E-01;7.652216340204157E-01;4.441075973967965E+00;2.920806413306087E+01;-4.263009326754597E-01;7.652216340204157E-01;
1.525000000000000E+08;-3.831597308703477E-01;7.857687982562492E-01;4.658172407285474E+00;3.105114000125662E+01;-3.831597308703477E-01;7.857687982562492E-01;
1.530000000000000E+08;-3.390659977073995E-01;8.041713041387034E-01;4.884494931206841E+00;3.296068748022005E+01;-3.390659977073995E-01;8.041713041387034E-01;
1.535000000000000E+08;-2.939514802418542E-01;8.200564053808640E-01;5.136775973432551E+00;3.494355623026286E+01;-2.939514802418542E-01;8.200564053808640E-01;
1.540000000000000E+08;-2.480576419451764E-01;8.336757983290447E-01;5.403649955385049E+00;3.700845261835071E+01;-2.480576419451764E-01;8.336757983290447E-01;
1.545000000000000E+08;-2.013093168205537E-01;8.444001726093413E-01;5.715331793193723E+00;3.916229993759968E+01;-2.013093168205537E-01;8.444001726093413E-01;
1.550000000000000E+08;-1.542581249862572E-01;8.528097401538846E-01;6.042931358894367E+00;4.140664613490135E+01;-1.542581249862572E-01;8.528097401538846E-01;
1.555000000000000E+08;-1.070367978712031E-01;8.587570665920550E-01;6.395317626393620E+00;4.374730598612271E+01;-1.070367978712031E-01;8.587570665920550E-01;
1.560000000000000E+08;-5.947690850488035E-02;8.618515607595161E-01;6.799903010763205E+00;4.620495705743823E+01;-5.947690850488035E-02;8.618515607595161E-01;
1.565000000000000E+08;-1.184798251142617E-02;8.628453095469804E-01;7.220269653584336E+00;4.879412929110736E+01;-1.184798251142617E-02;8.628453095469804E-01;
1.570000000000000E+08;3.594899727080470E-02;8.610256064946955E-01;7.701365313156461E+00;5.153498406586736E+01;3.594899727080470E-02;8.610256064946955E-01;
1.575000000000000E+08;8.352873264262861E-02;8.564547351739824E-01;8.246554618376992E+00;5.443218929745942E+01;8.352873264262861E-02;8.564547351739824E-01;
1.580000000000000E+08;1.305738600113041E-01;8.492361083513581E-01;8.860193264264723E+00;5.749332711022802E+01;1.305738600113041E-01;8.492361083513581E-01;
1.585000000000000E+08;1.771787484365964E-01;8.394620112588572E-01;9.550019837605083E+00;6.075436108194486E+01;1.771787484365964E-01;8.394620112588572E-01;
1.590000000000000E+08;2.231275365256738E-01;8.269175818531795E-01;1.034788119879252E+01;6.423541358087746E+01;2.231275365256738E-01;8.269175818531795E-01;
1.595000000000000E+08;2.675510855984000E-01;8.122444295124457E-01;1.123016077937355E+01;6.790078602523349E+01;2.675510855984000E-01;8.122444295124457E-01;
1.600000000000000E+08;3.111249066776722E-01;7.956790577755061E-01;1.219226019671520E+01;7.183461773250259E+01;3.111249066776722E-01;7.956790577755061E-01;
1.605000000000000E+08;3.538114468707660E-01;7.771781451255761E-01;1.325473436138252E+01;7.607717110327482E+01;3.538114468707660E-01;7.771781451255761E-01;
1.610000000000000E+08;3.956634636676097E-01;7.564960305770443E-01;1.446195236874320E+01;8.069214445670954E+01;3.956634636676097E-01;7.564960305770443E-01;
1.615000000000000E+08;4.365048032074886E-01;7.337103918910457E-01;1.583981738661687E+01;8.572807451020233E+01;4.365048032074886E-01;7.337103918910457E-01;
1.620000000000000E+08;4.764646388784379E-01;7.083685524079050E-01;1.747674199153141E+01;9.129928099478322E+01;4.764646388784379E-01;7.083685524079050E-01;
1.625000000000000E+08;5.148452496662688E-01;6.808378869940673E-01;1.941537960161379E+01;9.741349608623618E+01;5.148452496662688E-01;6.808378869940673E-01;
1.630000000000000E+08;5.515915777188233E-01;6.510151830052002E-01;2.175787572360201E+01;1.041806181039392E+02;5.515915777188233E-01;6.510151830052002E-01;
1.635000000000000E+08;5.864139948616072E-01;6.189399917589961E-01;2.463563949692599E+01;1.116937747438943E+02;5.864139948616072E-01;6.189399917589961E-01;
1.640000000000000E+08;6.195369239490727E-01;5.853237606604227E-01;2.806675849441781E+01;1.201018746386973E+02;6.195369239490727E-01;5.853237606604227E-01;
