# Version 1.00
#
# Ref Impedances: Z01: 50
# 
freq[Hz];mag:Smith_S11[U];ang:Smith_S11[°];Magnitude_S11[dB];Phase_S11[°];
1.130000000000000E+08;8.790135772025349E-01;-1.697509514447194E+01;-1.120088335643976E+00;-1.697509514447194E+01;
1.136000000000000E+08;8.806961806179332E-01;-2.149624714932076E+01;-1.103477741811789E+00;-2.149624714932076E+01;
1.142000000000000E+08;8.821239467113909E-01;-2.600036397826478E+01;-1.089407762423392E+00;-2.600036397826478E+01;
1.148000000000000E+08;8.835470292220803E-01;-3.048648392771205E+01;-1.075406580460651E+00;-3.048648392771205E+01;
1.154000000000000E+08;8.848965520839344E-01;-3.496811726941856E+01;-1.062149941638369E+00;-3.496811726941856E+01;
1.160000000000000E+08;8.862251078311790E-01;-3.945387186300221E+01;-1.049119000823690E+00;-3.945387186300221E+01;
1.166000000000000E+08;8.877114594642608E-01;-4.394349536164758E+01;-1.034563475550083E+00;-4.394349536164758E+01;
1.172000000000000E+08;8.890259400781991E-01;-4.845931484035702E+01;-1.021711339235421E+00;-4.845931484035702E+01;
1.178000000000000E+08;8.899295657615777E-01;-5.300711161406146E+01;-1.012887292080535E+00;-5.300711161406146E+01;
1.184000000000000E+08;8.900032134627647E-01;-5.754464615004076E+01;-1.012168505604507E+00;-5.754464615004076E+01;
1.190000000000000E+08;8.897443097992809E-01;-6.205841595083111E+01;-1.014695615359550E+00;-6.205841595083111E+01;
1.196000000000000E+08;8.890750080668092E-01;-6.653916415157281E+01;-1.021231952354286E+00;-6.653916415157281E+01;
1.202000000000000E+08;8.886033226908987E-01;-7.097847952095405E+01;-1.025841343315866E+00;-7.097847952095405E+01;
1.208000000000000E+08;8.885844595502506E-01;-7.541455241507335E+01;-1.026025728060732E+00;-7.541455241507335E+01;
1.214000000000000E+08;8.886409215532327E-01;-7.986215339761338E+01;-1.025473831005888E+00;-7.986215339761338E+01;
1.220000000000000E+08;8.883429380547404E-01;-8.432393119043701E+01;-1.028386915209929E+00;-8.432393119043701E+01;
1.226000000000000E+08;8.878224717751125E-01;-8.876987310712069E+01;-1.033477333894533E+00;-8.876987310712069E+01;
1.232000000000000E+08;8.869652780769633E-01;-9.319971128643425E+01;-1.041867622186903E+00;-9.319971128643425E+01;
1.238000000000000E+08;8.860695211620233E-01;-9.761620197565860E+01;-1.050644039176574E+00;-9.761620197565860E+01;
1.244000000000000E+08;8.850694907281504E-01;-1.020108074330983E+02;-1.060452591580499E+00;-1.020108074330983E+02;
1.250000000000000E+08;8.839996239257280E-01;-1.063833587519487E+02;-1.070958394919892E+00;-1.063833587519487E+02;
1.256000000000000E+08;8.830173763223907E-01;-1.107868557337372E+02;-1.080615002816038E+00;-1.107868557337372E+02;
1.262000000000000E+08;8.820179204742636E-01;-1.152250549603567E+02;-1.090451819267873E+00;-1.152250549603567E+02;
1.268000000000000E+08;8.807983462653054E-01;-1.196645191547910E+02;-1.102470188821611E+00;-1.196645191547910E+02;
1.274000000000000E+08;8.792321707665824E-01;-1.240978589618379E+02;-1.117928592519462E+00;-1.240978589618379E+02;
1.280000000000000E+08;8.776867546343630E-01;-1.285075074433005E+02;-1.133209112567674E+00;-1.285075074433005E+02;
1.286000000000000E+08;8.757599348949846E-01;-1.328766159490514E+02;-1.152298544194060E+00;-1.328766159490514E+02;
1.292000000000000E+08;8.743718103777550E-01;-1.371917195651059E+02;-1.166077048494053E+00;-1.371917195651059E+02;
1.298000000000000E+08;8.738708198792882E-01;-1.414818010373664E+02;-1.171055245711314E+00;-1.414818010373664E+02;
1.304000000000000E+08;8.739987167258370E-01;-1.457965478546770E+02;-1.169784100613929E+00;-1.457965478546770E+02;
1.310000000000000E+08;8.743903669969310E-01;-1.501382822071964E+02;-1.165892711540396E+00;-1.501382822071964E+02;
1.316000000000000E+08;8.745409538246166E-01;-1.545064573382291E+02;-1.164396963189522E+00;-1.545064573382291E+02;
1.322000000000000E+08;8.745043971856349E-01;-1.588752445080006E+02;-1.164760049179941E+00;-1.588752445080006E+02;
1.328000000000000E+08;8.743923491216811E-01;-1.632539319781290E+02;-1.165873021825179E+00;-1.632539319781290E+02;
1.334000000000000E+08;8.737593106501895E-01;-1.675914719025199E+02;-1.172163668874741E+00;-1.675914719025199E+02;
1.340000000000000E+08;8.736299575776768E-01;-1.719072418009821E+02;-1.173449640506444E+00;-1.719072418009821E+02;
1.346000000000000E+08;8.736882219546847E-01;-1.762324320203922E+02;-1.172870378006190E+00;-1.762324320203922E+02;
1.352000000000000E+08;8.737643478033829E-01;1.794562821174159E+02;-1.172113595553540E+00;1.794562821174159E+02;
1.358000000000000E+08;8.738129593178747E-01;1.751436270492442E+02;-1.171630373153702E+00;1.751436270492442E+02;
1.364000000000000E+08;8.737546648225437E-01;1.708371727850162E+02;-1.172209852363715E+00;1.708371727850162E+02;
1.370000000000000E+08;8.738130959500919E-01;1.665219339225158E+02;-1.171629015000044E+00;1.665219339225158E+02;
1.376000000000000E+08;8.737690280109056E-01;1.621947891680529E+02;-1.172067070815771E+00;1.621947891680529E+02;
1.382000000000000E+08;8.735331873278942E-01;1.578841835701949E+02;-1.174411812485827E+00;1.578841835701949E+02;
1.388000000000000E+08;8.729276962271290E-01;1.535640552035370E+02;-1.180434540092630E+00;1.535640552035370E+02;
1.394000000000000E+08;8.720109538120260E-01;1.492375606414132E+02;-1.189561192398203E+00;1.492375606414132E+02;
1.400000000000000E+08;8.709157960558135E-01;1.449110991417545E+02;-1.200476649010868E+00;1.449110991417545E+02;
1.406000000000000E+08;8.692390183183715E-01;1.405955049032964E+02;-1.217215746891432E+00;1.405955049032964E+02;
1.412000000000000E+08;8.671721372138244E-01;1.362786688015074E+02;-1.237893694727356E+00;1.362786688015074E+02;
1.418000000000000E+08;8.649411177868661E-01;1.319852405494956E+02;-1.260269136036916E+00;1.319852405494956E+02;
1.424000000000000E+08;8.623112795691988E-01;1.277347340053993E+02;-1.286718660391992E+00;1.277347340053993E+02;
1.430000000000000E+08;8.600756426982388E-01;1.235062157798267E+02;-1.309267027180147E+00;1.235062157798267E+02;
1.436000000000000E+08;8.581579737961443E-01;1.192698829572479E+02;-1.328655156014273E+00;1.192698829572479E+02;
1.442000000000000E+08;8.560650602924847E-01;1.149925215051618E+02;-1.349864560375200E+00;1.149925215051618E+02;
1.448000000000000E+08;8.539702687927256E-01;1.106900680332888E+02;-1.371144982567114E+00;1.106900680332888E+02;
1.454000000000000E+08;8.510192930127196E-01;1.063753153037481E+02;-1.401211882820899E+00;1.063753153037481E+02;
1.460000000000000E+08;8.479836844890314E-01;1.020613182392242E+02;-1.432250072897533E+00;1.020613182392242E+02;
1.466000000000000E+08;8.446775788155997E-01;9.774859571471075E+01;-1.466180672186967E+00;9.774859571471075E+01;
1.472000000000000E+08;8.413540174429248E-01;9.339527616423281E+01;-1.500424543706369E+00;9.339527616423281E+01;
1.478000000000000E+08;8.371809513560461E-01;8.901360051425628E+01;-1.543613237222975E+00;8.901360051425628E+01;
1.484000000000000E+08;8.325303024173890E-01;8.463344754176612E+01;-1.591999001882564E+00;8.463344754176612E+01;
1.490000000000000E+08;8.275370287858343E-01;8.022967786527060E+01;-1.644251285484346E+00;8.022967786527060E+01;
1.496000000000000E+08;8.220080165306741E-01;7.578317861189092E+01;-1.702478940730401E+00;7.578317861189092E+01;
1.502000000000000E+08;8.154436970775379E-01;7.127523348311759E+01;-1.772120395544026E+00;7.127523348311759E+01;
1.508000000000000E+08;8.082330016045867E-01;6.673440427154773E+01;-1.849268410157619E+00;6.673440427154773E+01;
1.514000000000000E+08;8.000897928913910E-01;6.217861007433407E+01;-1.937225400938616E+00;6.217861007433407E+01;
1.520000000000000E+08;7.911899071153986E-01;5.771734546350066E+01;-2.034385229836515E+00;5.771734546350066E+01;
1.526000000000000E+08;7.820575179642060E-01;5.332700589198509E+01;-2.135226094407887E+00;5.332700589198509E+01;
1.532000000000000E+08;7.736882255499993E-01;4.903162860657643E+01;-2.228680248903922E+00;4.903162860657643E+01;
1.538000000000000E+08;7.666152037568050E-01;4.477754635793841E+01;-2.308451438596320E+00;4.477754635793841E+01;
1.544000000000000E+08;7.606640047119253E-01;4.044899919281725E+01;-2.376142689093191E+00;4.044899919281725E+01;
1.550000000000000E+08;7.544104323154220E-01;3.603428277856882E+01;-2.447846292326149E+00;3.603428277856882E+01;
1.556000000000000E+08;7.473846115844844E-01;3.154529822243880E+01;-2.529116967638909E+00;3.154529822243880E+01;
1.562000000000000E+08;7.394990349000031E-01;2.709241043451214E+01;-2.621247769051759E+00;2.709241043451214E+01;
1.568000000000000E+08;7.320053928111971E-01;2.259286502716244E+01;-2.709714388134960E+00;2.259286502716244E+01;
1.574000000000000E+08;7.233881462954432E-01;1.805455853686225E+01;-2.812572240508092E+00;1.805455853686225E+01;
1.580000000000000E+08;7.138024373221163E-01;1.353282255372319E+01;-2.928439469054673E+00;1.353282255372319E+01;
